id,order,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped
36,36,,,,,2322-E,Municipal,Public Art,Public Art,Booker T. Washington Lifting The Veil of Ignorance ,Bronze restoration. ,,,,,,33.753513,-84.420374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,,,,,2347-E,Municipal,Public Art,Public Art,"Brave Service, Rescue Monument",New foundation.,,,Woodruff Park,,,33.755544,-84.388536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,,,,,2110-E,Transportation,Traffic,School Zone Beacons,Brown Middle School,School flashers for middle school at 765 Peeples Street,High,"$9,270","765 Peeples Street, Atlanta, GA 30310‎",765 Peeples Street,,33.7341483,-84.4204982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,,,,,2239-E,Municiple,Facility,Parks and Recreation Centers,Brownwood Park ,Concrete paths and miscellaneous improvements.,High,,"602 Brownwood Ave SE, Atlanta, GA 30316",602 Brownwood Ave SE,,33.736653,-84.346886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,,,,,2241-E,Municiple,Facility,Parks and Recreation Centers,Brownwood Recreation Center,Concrete paths and miscellaneous improvements.,High,,"607 Brownwood Ave SE, Atlanta, GA 30316",607 Brownwood Ave SE,,33.738171,-84.347094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,,,,,2334-E,Municipal,Public Art,Public Art,Bulwarks ll,Corten Steel restoration.,,,,,,33.786885,-84.349939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,,,,,2111-E,Transportation,Traffic,School Zone Beacons,Bunche Middle School,School flashers for middle school 1925 Niskey Lake Road,High,"$9,270","1925 Niskey Lake Rd SW, Atlanta, GA 30331",1925 Niskey Lake Rd SW,,33.7012832,-84.5305572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,,,,,2154-E,Transportation,Traffic,Traffic Communication Corridor,Campbellton Road,"Upgrades along Campbellton Road, from I-285 to Lee Street, to optimize signal operations and communications network to ATCC.",High,"$1,443,000","2231 Campbellton Rd SW, Atlanta, GA 30311",2231 Campbellton Rd SW,,33.7056691,-84.4616745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,,,,,2178-E,Transportation,Traffic,Traffic Signals,Campbellton Road @ Dodson Drive,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","2683 Campbellton Road Southwest, Atlanta, GA 30311",2683 Campbellton Road Southwest,,33.7024019,-84.4763432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,,,,2179-E,Transportation,Traffic,Traffic Signals,Campbellton Road @ Greenbriar Parkway & Mount Gilead Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","3105 Campbellton Rd SW, Atlanta, GA 30311",3105 Campbellton Rd SW,,33.6927284,-84.4904225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,,,,,2180-E,Transportation,Traffic,Traffic Signals,Anchored Sail,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1207 Campbellton Rd SW, Atlanta, GA 30310",1207 Campbellton Rd SW,,33.7174661,-84.4277672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,,,,,2247-E,Municiple,Facility,Parks and Recreation Centers,Candler Park,"ADA Upgrades, repair basketball and tennis courts.",High,,"1500 McLendon Ave NE, Atlanta, GA 30307",1500 McLendon Ave NE,,33.766735,-84.33802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,,,,,2312-E,Municipal,Public Art,Public Art,Carnegie Education Pavilion,Structural repair.,,,,,,33.7630764,-84.386919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49,,,,,2015-H,Transportation,Complete Street,Complete Street,Cascade Rd/Avenue,"The project scope may include milling and repaving, sidewalk & bus stop improvements: bicycle lanes and median/pedestrian refuge islands along Cascade Ave/Rd between Delowe and RD Abernathy Blvd. ",High,"$3,040,000","1012 Cascade Ave SW, Atlanta, GA 30311",1012 Cascade Ave SW,,33.7274731,-84.4434479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50,,,,,2329-E,Municipal,Public Art,Public Art,Cattail Fence,Rust abatement.,,,,,,33.7453379,-84.4268255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51,,,,,2155-E,Transportation,Traffic,Traffic Communication Corridor,Cascade Road,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$1,554,000","3665 Cascade Rd SW, Atlanta, GA 30331",3665 Cascade Rd SW,,33.7305897,-84.5694009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52,,,,,2248-E,Municiple,Facility,Parks and Recreation Centers,Central Park,"ADA upgrades, asphalt repairs, interior/ exterior paint, additional exterior lights.",High,,"301 Linden Ave NE, Atlanta, GA 30308",301 Linden Ave NE,,33.769835,-84.375805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,,,,,2068-E,Transportation,Roadway,Roadway Resurfacing,Ceremonial Circle,Resurfacing from Sylvan Road to Murphy Avenue,High,"$299,100","1829 Langston Ave SW, Atlanta, GA 30310",1829 Langston Ave SW,,33.7048879,-84.42041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54,,,,,2015-H,Transportation,Complete Street,Complete Street,Ceremonial Circle,"Complete Street improvements inclusive of milling, repaving, and installation of pedestrian & bicycle improvements 
from the Gordon bynum Bridge to Roxboro Road.",High,"$1,000,000","3393 Peachtree Road, Atlanta, GA 30326",3393 Peachtree Road,,33.8466715,-84.3619433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55,,,,,2308-E,Municipal,Public Art,Public Art,Ceremonial Circle,Bronze restoration.,,,,,,33.7471645,-84.3955637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56,,,,,2321-E,Municipal,Public Art,Public Art,Charles Linoln Harper,Bronze restoration and granite base repair.,,,,,,33.758177,-84.4243044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,,,,,2245-E,Municiple,Facility,Parks and Recreation Centers,Chastain Art Center,"ADA upgrades, interior/exterior, miscellaneous repairs and improvements.",High,,"135 West Wieuca Rd NW, Atlanta, GA 30342",135 West Wieuca Rd NW,,33.87692,-84.391281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58,,,,,2243-E,Municiple,Facility,Parks and Recreation Centers,Chastain Tennis Center,"ADA upgrades, interior/exterior, miscellaneous repairs and improvements.",High,,"120 West Wieuca Rd NE, Atlanta, GA 30342",120 West Wieuca Rd NE,,33.878194,-84.383026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59,,,,,2090-E,Transportation,Roadway,Roadway Resurfacing,Chattahoochee Avenue,Resurfacing from Ellsworth Industrial Boulevard to Huber Street,High,"$51,500","1176 Chattahoochee Ave NW, Atlanta, GA 30318",1176 Chattahoochee Ave NW,,33.8006545,-84.4256526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
