id,order,GIS ObjectID,InfrastID,WBS,Code,Funding comment,Portfolio,Category,Subcategory,Project Name,Project Description,Project Priority,Funding Needed,address,From,To,LATITUDE,LONGITUDE,Quadrants,NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,Comments,Added,dropped
209,209,,,,,2166-E,Transportation,Traffic,Traffic Communication Corridor,McDaniel Street,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$421,800","678 McDaniel Street Southwest, Atlanta, GA 30310",678 McDaniel Street Southwest,,33.7363622,-84.4013664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,210,,,,,2209-E,Transportation,Traffic,Traffic Signals,McDaniel Street @ Peters Street,"Replacement of traffic signal LED's, signal communications, & timing at the intersection.",High,"$59,940","379 McDaniel St SW, Atlanta, GA 30313",379 McDaniel St SW,,33.7447454,-84.4047439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,211,,,,,2328-E,Municipal,Public Art,Public Art,Meeting of the Elders,Tile and paint restoration.,,,,,,33.7379649,-84.4200188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,212,,,,,2307-E,Municipal,Public Art,Public Art,"Memorial: Carpets, Panels and Books",Metal restoration.,,,,,,33.7617165,-84.3875446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,213,,,,,2210-E,Transportation,Traffic,Traffic Signals,Memorial Drive @ Maynard Terrace & Wyman Street,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1655 Memorial Dr SE, Atlanta, GA 30317",1655 Memorial Dr SE,,33.74705,-84.333618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,214,,,,,2130-E,Transportation,Traffic,School Zone Beacons,Miles Elementary School,School flashers for elementary school at 4215 Bakers Ferry Road,High,"$9,270","4215 Bakers Ferry Rd SW, Atlanta, GA 30331",4215 Bakers Ferry Rd SW,,33.7555921,-84.5257461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,215,,,,,2017-E,Transportation,Complete Street,Complete Street,Monroe Drive,"Complete Street improvements inclusive of milling, resurfacing and pedestrian improvements from Piedmont Circle to
Ponce de Leon Avenue.",High,"$2,500,000.00","593 Dutch Valley Road Northeast, Atlanta, GA 30324",593 Dutch Valley Road Northeast,,33.7916897,-84.3676907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,216,,,,,2211-E,Transportation,Traffic,Traffic Signals,Monroe Drive @ Amsterdam Avenue,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",High,"$68,500","1229 Monroe Dr NE, Atlanta, GA 30306",1229 Monroe Dr NE,,33.7883625,-84.3669702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,217,,,,,2212-E,Transportation,Traffic,Traffic Signals,Monroe Drive @ Armour Drive,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","2115 Monroe Dr NE, Atlanta, GA 30324",2115 Monroe Dr NE,,33.810124,-84.371446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,218,,,,,2213-E,Transportation,Traffic,Traffic Signals,Monroe Drive @ Buford Highway N/B Ramps,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","2167 Monroe Dr NE, Atlanta, GA 30324",2167 Monroe Dr NE,,33.8106009,-84.3690243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,219,,,,,2214-E,Transportation,Traffic,Traffic Signals,Monroe Drive @ Park Drive,"Replacement of traffic signal cabinet, controller monitor, signal wiring, communication, & timing at the intersection.",High,"$68,500","1113 Monroe Dr NE, Atlanta, GA 30306",1113 Monroe Dr NE,,33.785063,-84.367275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,220,,,,,2018-E,Transportation,Complete Street,Complete Street,Monroe Drive/Boulevard,"Complete Street improvements inclusive of milling, repaving, and installation of bicycle lanes, sidewalks and pedestrian improvements from 10th Street to Memorial Drive.",High,"$2,175,200.00","391 Boulevard NE, Atlanta, GA 30308",391 Boulevard NE,,33.765313,-84.3714789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,221,,,,,2167-E,Transportation,Traffic,Traffic Communication Corridor,Monroe/Boulevard,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$1,276,500","1700 Monroe Dr NE, Atlanta, GA 30324","1700 Monroe Dr NE, Atlanta, GA 30324",,33.8005446,-84.3729199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,222,,,,,2079-E,Transportation,Roadway,Roadway Resurfacing,Montgomery Ferry Drive - Phase 1,Resurfacing from Polo Drive to Piedmont Avenue,High,"$100,106","30 Montgomery Ferry Dr NE, Atlanta, GA 30309",30 Montgomery Ferry Dr NE,,33.7966756,-84.3779653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,223,,,,,2080-E,Transportation,Roadway,Roadway Resurfacing,Montgomery Ferry Drive - Phase 2,Resurfacing from Maddox Drive to Polo Drive,High,"$179,500","590 Montgomery Ferry Dr NE, Atlanta, GA 30324",590 Montgomery Ferry Dr NE,,33.80335,-84.36849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,224,,,,,2237-E,Municiple,Facility,Parks and Recreation Centers,Monument Beauty Spot ,Monument Restoration.,High,,"1408 McPherson Ave SE, Atlanta, GA 30316",1408 McPherson Ave SE,,33.744255,-84.341357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,225,,,,,2233-E,Transportation,Traffic,Traffic Signals,Moores Mill Road @ W. Wesley Road,"Add a left-turning lane at the intersection of Moores Mill and West Wesley Road,",High,,"1298 West Wesley Rd NW, Atlanta, GA 30327",1298 West Wesley Rd NW,,33.829973,-84.4313729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,226,,,,,2215-E,Transportation,Traffic,Traffic Signals,Moreland Avenue @ Eastland Road & Sunshine Plaza Driveway,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1208 Moreland Ave SE, Atlanta, GA 30316",1208 Moreland Ave SE,,33.7197502,-84.3490199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,227,,,,,2350-E,Municipal,Public Art,Public Art,Musical Playscape,"Replace damaged and badly worn wood on  all surfaces of deck, guardrails, and plaza.",,,1530 Woodbine Ave. SE 30317,,,33.751937,-84.336669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,228,,,,,2338-E,Municipal,Public Art,Public Art,My Spirit is Changing,Metal and paint restoration.,,,770 Deckner Ave. SW 30310,,,33.711914,-84.413083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,229,,,,,2216-E,Transportation,Traffic,Traffic Signals,Evolution,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1769 Moreland Ave SE, Atlanta, GA 30315",1769 Moreland Ave SE,,33.7047829,-84.349535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,230,,,,,2081-E,Transportation,Roadway,Roadway Resurfacing,Morris Street,Resurfacing from Howell Mill Road to Old Chattahoochee Avenue,High,"$125,300","901 Morris St NW, Atlanta, GA 30318",901 Morris St NW,,33.796354,-84.417242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,231,,,,,2235-E,Transportation,Traffic,Traffic Signals,Mt. Paran Road @ Randall Mill & Conway Drive,"Add a left stacking lane at the intersection of Mt. Paran, West Conway and Randall Mill Road",High,,"1611 Mt Paran Rd NW, Atlanta, GA 30327",1611 Mt Paran Rd NW,,33.867679,-84.42937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,232,,,,,2234-E,Transportation,Traffic,Traffic Signals,Mt. Paran Road @ Northside Parkway,Add a dedicated right turning lane from the west side of Mt. Paran and Northside Parkway to access I-75 south,High,,"2029 Mt Paran Rd NW, Atlanta, GA 30327",2029 Mt Paran Rd NW,,33.8630959,-84.4400678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,233,,,,,2270-E,Municipal,Public Buildings,Public Buildings,Municipal Court pedestrian bridge,Construct a pedestrian bridge from the Government Parking Deck to the Municipal Court.,High,,"150 Garnett St SW, Atlanta, GA 30303",150 Garnett St SW,,33.747436,-84.393368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,234,,,,,2082-E,Transportation,Roadway,Roadway Resurfacing,Murphy Avenue,Resurfacing from Glenn Street to Dill Avenue,High,"$541,000","1100 Murphy Avenue Southwest, Atlanta, GA 30310",1100 Murphy Avenue Southwest,,33.724777,-84.4191878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,235,,,,,2251-E,Municiple,Facility,Parks and Recreation Centers,NE Beltline (Phase I),"ADA upgrades, asphalt repairs, interior/ exterior paint, additional exterior lights.",High,,"BeltLine Northeast Trail, Atlanta, GA 30309",BeltLine Northeast Trail,,33.805254,-84.376437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,236,,,,,2132-E,Transportation,Traffic,School Zone Beacons,Neighborhood Charter School,School flashers for school at 688 Grant Street,High,"$9,270","688 Grant Street, Atlanta, GA 30315",688 Grant Street,,33.7358086,-84.3763701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,237,,,,,2015-H,Transportation,Bridges,Bridge Replacement,Nelson Street – pedestrian,Retro-fit of 95+ year old bridge over Southern Railroad between Elliot Street & Spring Street for pedestrain use only.,High,"$1,656,849","51 Elliott Street Southwest, Atlanta, GA 30313",51 Elliott Street Southwest,,33.753217,-84.3982429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,238,,,,,2333-E,Municipal,Public Art,Public Art,New Endings,Bronze restoration. ,,,Freedom Park at Euclid and North Ave.,,,33.760669,-84.354943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,239,,,,,2337-E,Municipal,Public Art,Public Art,Not to Scale,Corten steel restoration.,,,340 W. Manor Cir. SW / Benjamin E. Mays Dr. SW 30311,,,33.730036,-84.482288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,240,,,,,2083-E,Transportation,Roadway,Roadway Resurfacing,North Angier Avenue,Resurfacing from North Avenue to Dead End,High,"$54,400","695 North Avenue NE, Atlanta, GA 30308",695 North Avenue NE,,33.7708725,-84.3645437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,241,,,,,2084-E,Transportation,Roadway,Roadway Resurfacing,North Avenue,Resurfacing from Moreland Avenue to Candler Park Drive,High,"$44,923","1340 North Avenue NE, Atlanta, GA 30307",1340 North Avenue NE,,33.7714796,-84.3433942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,242,,,,,2168-E,Transportation,Traffic,Traffic Communication Corridor,North Avenue,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$1,062,000","695 North Avenue Northeast, Atlanta, GA 30308","695 North Avenue Northeast, Atlanta, GA 30308",,33.7708725,-84.3645437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,243,,,,,2085-E,Transportation,Roadway,Roadway Resurfacing,North Camp Creek Pkwy,Resurfacing from Stone Rd to Stone - Hogan Rd Connector,High,"$90,000","3516 N Camp Creek Pkwy SW, Atlanta, GA 30331",3516 N Camp Creek Pkwy SW,,33.6732393,-84.4994624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,244,,,,,2217-E,Transportation,Traffic,Traffic Signals,Northside Drive @ Moores Mill Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","3131 Northside Dr NW, Atlanta, GA 30305",3131 Northside Dr NW,,33.841057,-84.407894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,245,,,,,2086-E,Transportation,Roadway,Roadway Resurfacing,Northwest Drive,Resurfacing from Bolton Road to James Jackson Parkway,High,"$347,000","1300 Northwest Dr NW, Atlanta, GA 30318","1300 Northwest Dr NW, Atlanta",,33.7908789,-84.480576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,246,,,,,2087-E,Transportation,Roadway,Roadway Resurfacing,Oakdale Road,Resurfacing from Lullwater Creek to 909 Oakdale Road,High,"$54,071","928 Oakdale Rd NE, Atlanta, GA 30307","928 Oakdale Rd NE, Atlanta",,33.7800992,-84.3372003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,247,,,,,2218-E,Transportation,Traffic,Traffic Signals,Oakdale Road @ Fairview Road,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","695 Oakdale Rd NE, Atlanta, GA 30306",695 Oakdale Rd NE,,33.7744937,-84.3417664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,248,,,,,2133-E,Transportation,Traffic,School Zone Beacons,Evolution,School flashers for elementary school at 601 Beckwith Street,High,"$9,270","601 Beckwith St SW, Atlanta, GA 30314",601 Beckwith St SW,,33.7524673,-84.4072368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,249,,,,,2089-E,Transportation,Roadway,Roadway Resurfacing,Old Chattahoochee Avenue,Resurfacing from Bowen Street to Howell Mill Road,High,"$81,200","43 Old Chattahoochee Ave NW, Atlanta, GA 30318",43 Old Chattahoochee Ave NW,,33.795526,-84.416251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,250,,,,,2091-E,Transportation,Roadway,Roadway Resurfacing,Old Gordon Road,"Resurfacing from Martin L. King, Jr. Drive to Fulton Industrial Boulevard",High,"$106,100","3875 Old Gordon Rd NW, Atlanta, GA 30336",3875 Old Gordon Rd NW,,33.7714123,-84.5142255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,251,,,,,2092-E,Transportation,Roadway,Roadway Resurfacing,Old Hapeville Road,Resurfacing from Macon Drive to Cleveland Avenue,High,"$143,600","2535 Old Hapeville Rd SW, Atlanta, GA 30315",2535 Old Hapeville Rd SW,,33.6851806,-84.3924212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,252,,,,,2093-E,Transportation,Roadway,Roadway Resurfacing,The Last Meter,Resurfacing from Wieuca Road to dead end (east of Piedmont Road),High,"$245,719","470 Old Ivy Rd NE, Atlanta, GA 30342",470 Old Ivy Rd NE,,33.8574077,-84.372408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,253,,,,,2303-E,Municipal,Public Art,Public Art,Our City,The Last Meter,,,,,,33.7724401,-84.3665306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,254,,,,,2325-E ,Municipal,Public Art,Public Art,Our Tree,Structural repairs and paint restoration.,,,,,,33.7413728,-84.399713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,255,,,,,2093-E,Transportation,Roadway,Roadway Resurfacing,Paces Ferry Road,Resurfacing from Mount Paran Road to Paces Place,High,"$120,843","3485 Paces Ferry Rd NW, Atlanta, GA 30327",3485 Paces Ferry Rd NW,,33.8507496,-84.4356938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,256,,,,,2134-E,Transportation,Traffic,School Zone Beacons,Parkside Elementary School,School flashers for elementary school at 685 Mercer Street,High,"$9,270","685 Mercer Street Southeast, Atlanta, GA 30312",685 Mercer Street Southeast,,33.7355451,-84.3647841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,257,,,,,2219-E,Transportation,Traffic,Traffic Signals,Parkway Drive @ Linden Avenue,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","583 Parkway Dr NE, Atlanta, GA 30308",583 Parkway Dr NE,,33.769781,-84.3727253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,258,,,,,2249-E,Municiple,Facility,Parks and Recreation Centers,Parkway Merits,"ADA upgrades, asphalt repairs, interior/ exterior paint, additional exterior lights.",High,,"539 Parkway Dr NE, Atlanta, GA 30308",539 Parkway Dr NE,,33.769069,-84.372688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,259,,,,,2302-E,Municiple,Public Art,Public Art,Peace Monument,Bronze restoration.,,,,,,33.786557,-84.3741201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,260,,,,,2094-E,Transportation,Roadway,Roadway Resurfacing,Peachtree Dunwoody Road,Resurfacing from Roxboro Road to Meadowbrook Drive,High,"$606,300","3600 Peachtree Dunwoody Rd NE, Atlanta, GA 30319",3600 Peachtree Dunwoody Rd NE,,33.8550172,-84.3580153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,261,,,,,2335-E,Municipal,Public Art,Public Art,Peachtree Hills Rec. Center Tile Mosaic,Tile restoration.,,,308 Peachtree Hills Ave. 30305,,,33.818225,-84.37768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,262,,,,,2255-E,Municiple,Facility,Parks and Recreation Centers,Peachtree Recreation Center,"ADA upgrades, repair basketball and tennis courts.",High,,"308 Peachtree Hills Ave NE, Atlanta, GA 30305",308 Peachtree Hills Ave NE,,33.818354,-84.377874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,263,,,,,2019-E,Transportation,Complete Street,Complete Street,Peachtree St/Rd,"Complete Street improvements inclusive of curbing, sidewalk and pedestrian improvements from Sheridan Drive to I-
75/85. Resurfacing will be completed by GDOT.",High,"$2,500,949.00","2893 Peachtree Road Northwest, Atlanta, GA 30305",2893 Peachtree Road Northwest,,33.818354,-84.3824323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,264,,,,,2169-E,Transportation,Traffic,Traffic Communication Corridor,Peachtree street,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$1,088,600","1088 Peachtree Road, Atlanta, GA 30309","1088 Peachtree Road, Atlanta, GA 30309",,33.8048095,-84.3936552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,265,,,,,2220-E,Transportation,Traffic,Traffic Signals,Peachtree Street @ Garnett Street,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","225 Peachtree St SW, Atlanta, GA 30303",225 Peachtree St SW,,33.7483841,-84.3950619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,266,,,,,2135-E,Transportation,Traffic,School Zone Beacons,Perkerson Elementary School,School flashers for elementary school at 2040 Brewer Boulevard,High,"$18,540","2040 Brewer Blvd., Atlanta, GA 30315",2040 Brewer Blvd.,,33.6980959,-84.4134008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,267,,,,,2070-E,Transportation,Roadway,Roadway Resurfacing,Phoenix,Resurfacing from Cheshire Bridge Road to Johnson Road,High,"$245,096","2572 Lenox Rd NE, Atlanta, GA 30324",2572 Lenox Rd NE,,33.751567,-84.353455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,268,,,,,2318-E,Municipal,Public Art,Public Art,Phoenix,Metal restoration.,,,,,,53.7253803,-1.8608459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,269,,,,,2020-E,Transportation,Complete Street,Complete Street,Piedmont Ave,"Complete Street improvements inclusive of milling, repaving, and installation of bicycle lanes, sidewalks and
pedestrian improvements from 10th Street to Ponce de Leon Ave.",High,"$1,322,400.00","1144 Piedmont Avenue Northeast, Atlanta, GA 30309",1144 Piedmont Avenue Northeast,,33.7860434,-84.3785397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,270,,,,,2170-E,Transportation,Traffic,Traffic Communication Corridor,Piedmont Ave,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$660,800","1345 Piedmont Avenue Northeast, Atlanta, GA 30309",1345 Piedmont Avenue Northeast,,33.7892029,-84.3727557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,271,,,,,2095-E,Transportation,Roadway,Roadway Resurfacing,Polo Drive,Resurfacing from Beverly Road to Montgomery Ferry Road,High,"$60,000","90 Polo Dr NE, Atlanta, GA 30309",90 Polo Dr NE,,33.798418,-84.376665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,272,,,,,2015-H,Transportation,Bridges,Bridge Replacement,Powers Ferry Road,Replacement of 105 year old bridge over Nancy Creek between Pineland Road & Hillside Drive.,High,"$2,040,000","4012 Peachtree Dunwoody Road Northeast, Atlanta, GA 30342 ‎",4012 Peachtree Dunwoody Road Northeast,,33.864502,-84.358949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,273,,,,,2221-E,Transportation,Traffic,Traffic Signals,Pryor Road @ Claire Drive & Pryor Circle,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1731 Pryor Rd SW, Atlanta, GA 30315",1731 Pryor Rd SW,,33.7082043,-84.3959988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,274,,,,,2222-E,Transportation,Traffic,Traffic Signals,Pryor Road @ Fair Drive,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","1917 Pryor Road Southwest, Atlanta, GA 30315",1917 Pryor Road Southwest,,33.7022938,-84.3993028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,275,,,,,2223-E,Transportation,Traffic,-84.3742711,Pryor Street @ Underground Atlanta Crosswalk,"Replacement of traffic signal LED's, cabinet, controller monitor, signal wiring, communications, & timing at the intersection.",High,"$87,760","86 Pryor St SW, Atlanta, GA 30303",86 Pryor St SW,,33.7522522,-84.3901157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,276,,,,,2227-E,Non-Transportation Major,Public Art,Public Art,Public Art Program,Incorporation of public art through out projects on a citywide level,high,"$11,800,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,277,,,,,2228-E,Non-Transportation Major,Public Safety,Public Safety,Public Safety VIC,Video Integration Center,high,"$3,000,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,278,,,,,2260-E,Municiple,Public Buildings,Public Buildings,Public Safety Academies,Acquire new facilities for public safety academies. ,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,279,,,,,2171-E,Transportation,Traffic,Traffic Communication Corridor,R.D. Abernathy/Georgia Ave,Upgrades along major thoroughfares to optimize signal operations and communications network to ATCC.,High,"$612,700","879 Ralph David Abernathy Boulevard, Atlanta, GA 30310",879 Ralph David Abernathy Boulevard,,33.7384971,-84.4165934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,280,,,,,2229-E,Transportation,Complete Street,Complete Street,R.D Abernathy Drive,"Complete Street improvements inclusive of  curbing, sidewalk and pedestrian improvements from Cascade Avenue to Westview Drive. Resurfacing will be completed by GDOT.",High,,"1561 Ralph David Abernathy Blvd, Atlanta, GA 30310",1561 Ralph David Abernathy Blvd,,33.744198,-84.4384749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,281,,,,,2324-E,Municipal,Public Art,Public Art,Reunion Place,Structural repairs.,,,,,,33.7413728,-84.399713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,282,,,,,2136-E,Transportation,Traffic,School Zone Beacons,Rivers Elementary School,School flashers for elementary school at 8 Peachtree Battle Avenue,High,"$18,540","8 Peachtree Battle Avenue Northwest, Atlanta, GA 30305",8 Peachtree Battle Avenue Northwest,,33.8197196,-84.3896664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,283,,,,,2257-E,Municiple,Facility,Parks and Recreation Centers,Rosel Fann Park,Parking lot and playground repairs and improvements.,High,,"365 Cleveland Ave SE, Atlanta, GA 30354",365 Cleveland Ave SE,,33.679561,-84.379009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,284,,,,,2096-E,Transportation,Roadway,Roadway Resurfacing,Ruby Harper Blvd,Browns Mill Road to City Limits,High,"$274,300","3414 Ruby H Harper Blvd SE, Atlanta, GA 30354",3414 Ruby H Harper Blvd SE,,33.661351,-84.3800289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
